"Day","Susceptible","New Infections","Exposed","Infected","Hospitalized","Critical","Recovered","Dead","date","Cases"
185,11388329.8916962,94784.3023745223,366956.904932232,413323.138879093,5312.30176387936,2385.97845603306,6630972.53076936,4508.46637841178,2020-10-02,102482.582594435
186,11297639.1701652,90690.7215310203,352802.79637777,400075.643452457,5175.95443357957,2364.59240525396,6749091.52730974,4639.52873123199,2020-10-03,98231.2683698539
187,11210993.9199242,86645.2502410527,338647.247552945,386569.115703325,5033.61964718541,2339.10563760754,6863436.6267637,4769.57764632531,2020-10-04,94017.9755258456
188,11128331.2934176,82662.6265066085,324553.517519098,372877.153360953,4886.180616232,2309.69717818199,6973932.98705971,4898.38372351324,2020-10-05,89858.5043010225
189,11049575.3853099,78755.9081076278,310579.849099969,359070.400249474,4734.51748244106,2276.56862302898,7080526.7656441,5025.72646631182,2020-10-06,85766.9942130978
190,10974638.9000375,74936.4852723937,296779.234540777,345215.957050046,4579.49761656469,2239.94145794597,7183184.28657854,5151.39559384409,2020-10-07,81755.9243469043
191,10903424.7815208,71214.118516736,283199.285961068,331376.89346213,4421.966723756,2200.05420016102,7281891.03879283,5275.19221450973,2020-10-08,77836.139440653
192,10835827.7838289,67596.9976919452,269882.201868937,317611.862733776,4262.74087890515,2157.15942193756,7376650.53429286,5396.92984997542,2020-10-09,74016.8979927879
193,10771735.9655738,64091.8182550954,256864.819512941,303974.816758756,4102.59958151505,2111.52071482883,7467483.05543224,5516.43530120515,2020-10-10,70305.9385514393
194,10711032.0946831,60703.8708906647,244178.741897947,290514.817532206,3942.27988597575,2063.40965137575,7554424.31987321,5633.54935144069,2020-10-11,66709.5604280162
195,10653594.9538433,57437.1408398447,231850.527840042,277275.938766322,3782.47163082724,2013.10279763958,7637524.09069299,5748.12730417836,2020-10-12,63232.7152683115
196,10599300.5402389,54294.4136044034,219901.933423904,264297.249917263,3623.81376086033,1960.8788253173,7716844.75735188,5860.03935718313,2020-10-13,59879.1061905811
197,10548023.1561813,51277.3840576044,208350.193583278,251612.873763619,3466.89170953672,1907.01576656079,7792459.91105465,5969.1708163631,2020-10-14,56651.2915337019
198,10499636.3897907,48386.7663905554,197208.333176226,239252.107985447,3312.2357867968,1851.78844828296,7864452.93553198,6075.4221558352,2020-10-15,53550.7906256352
199,10454013.9870635,45622.402727196,186485.497796726,227239.600885085,3160.32049920043,1795.46613595919,7932915.63156209,6178.70893270031,2020-10-16,50578.1893623556
200,10411030.6184258,42983.3686377331,176187.295582113,215595.571419624,3011.56471561116,1738.31040998211,7997946.89075528,6278.96156688253,2020-10-17,47733.2437633264
201,10370562.5442702,40468.0741555812,166316.14237818,204336.064026219,2866.33258218473,1680.57329074229,8059651.43132989,6376.12499785405,2020-10-18,45014.9800285082
202,10332488.1850227,38074.3592474705,156871.603755794,193473.229258773,2724.93508498949,1622.49562199525,8118138.60589983,6470.15823116193,2020-10-19,42421.7899544552
203,10296688.6020282,35799.5829944988,147850.728489531,183015.62196175,2587.63215677335,1564.30571591041,8173521.28873467,6561.03378840341,2020-10-20,39951.5208671825
204,10263047.8960177,33640.7060105312,139248.369175096,172968.509531069,2454.6352257203,1506.2182576155,8225914.84759339,6648.73707468143,2020-10-21,37601.559493867
205,10231453.5301648,31594.3658528642,131057.486652433,163334.183705443,2326.11010797902,1448.43346214656,8275436.2031048,6733.2656776382,2020-10-22,35368.9094229898
206,10201796.5847952,29656.9453695908,123269.43579817,154112.270252504,2202.18015175614,1391.13647254885,8322202.9767931,6814.62861194625,2020-10-23,33250.2619938958
207,10173971.9507142,27824.6340810463,115874.231044519,145300.031828168,2082.92954831601,1334.49698447256,8366332.72723293,6892.84552266975,2020-10-24,31242.0606138348
208,10147878.4679019,26093.482812328,108860.790668163,136892.660167289,1968.40673382332,1278.66907996555,8407942.27246393,6967.94586023539,2020-10-25,29340.5586261169
209,10123419.016018,24459.4518838908,102217.159472904,128883.554588101,1858.62781515916,1223.7912512527,8447147.09569097,7039.96803891136,2020-10-26,27541.8709503026
210,10100500.5627864,22918.4532315305,95930.7099686858,121264.584547569,1753.57996224917,1169.98659406059,8484060.83042653,7108.95858972535,2020-10-27,25842.0197878403
211,10079034.1759169,21466.3868695651,89988.3225340747,114026.33466065,1653.22471874376,1117.36314943172,8518794.82057779,7174.97131769638,2020-10-28,24236.9747377405
212,10058935.0037815,20099.172135392,84376.5453483059,107158.331189046,1557.50119182719,1066.01437290249,8551457.75051956,7238.06647214436,2020-10-29,22722.6877001217
213,10040122.2296182,18812.7741632586,79081.7351022266,100649.249513754,1466.3290903108,1016.01971031433,8582155.33990273,7298.30993770882,2020-10-30,21295.1229638837
214,10022519.0035852,17603.2260330681,74090.179654921,94487.1025328698,1379.61158784809,967.445260307553,8610990.09780158,7355.77245258006,2020-10-31,19950.2828812238
215,10006052.3565561,16466.6470290599,69388.2039042634,88659.4102761996,1297.23799500804,920.344504634698,8638061.13077972,7410.52885934652,2020-11-01,18684.2295287026
216,9990653.09913056,15399.2574255354,64962.2601944697,83153.3513072832,1219.08623001515,874.759088749302,8663463.99953138,7462.65739280948,2020-11-02,17493.1027442998
217,9976255.70893615,14397.39019441,60799.0046004706,77955.8966984247,1145.02508320054,830.719636608841,8687290.61891228,7512.23900812627,2020-11-03,16373.1349142194
218,9962798.2089323,13457.5000038478,56885.3604153842,73053.9275226787,1074.9162746293,788.246585215573,8709629.19639333,7559.35675172637,2020-11-04,15320.6628636926
219,9950222.0390824,12576.1698499021,53208.5701303521,68434.336915975,1008.61630801516,747.351026052304,8730564.20423586,7604.09517660871,2020-11-05,14332.1371839695
220,9938471.92344743,11750.1156349631,49756.2371414408,64084.1178300182,945.978126961406,708.03554220618,8750176.38098432,7646.53980287843,2020-11-06,13404.1293041307
221,9927495.73446871,10976.1889787211,46516.3583512484,59990.4376291881,886.852581842796,670.295031574848,8768542.75818898,7686.77662371823,2020-11-07,12533.3365921387
222,9917244.35594882,10251.3785198928,43477.3487574941,56140.7006887842,831.089717338499,634.1175080856,8785736.70859833,7724.89165641323,2020-11-08,11716.5857453169
223,9907671.54600823,9572.80994058498,40628.0590406587,52522.6001333689,778.539891813579,599.484874306681,8801828.01238932,7760.97053755658,2020-11-09,10950.8347067052
224,9898733.80108806,8937.74492017933,37957.7870804704,49124.1598177676,729.054740499103,566.37366017406,8816882.93832714,7795.0981611521,2020-11-10,10233.1733208525
225,9890390.22188582,8343.57920223793,35456.2842488717,45933.7676039208,682.487994806526,534.755723785904,8830964.33706006,7827.35835799491,2020-11-11,9560.82292083036
226,9882602.38194957,7787.83993624521,33113.7572467375,42940.2009280561,638.696170195382,504.598911324584,8844131.74405493,7857.833614446,2020-11-12,8931.13501776517
227,9875334.19951349,7268.18243608283,30920.8661742914,40132.6455877289,597.539134852616,475.867674150307,8856441.48996223,7886.60482851515,2020-11-13,8341.58924508575
228,9868551.81303452,6782.38647896507,28868.7194517672,37500.7086098291,558.880571089714,448.523641972751,8867946.81646505,7913.75110102301,2020-11-14,7789.79069202754
